"(""[Parameter(Mandatory = $False, ParameterSetName='ObjectGuidLookup')]\n        [Guid]\n        $ObjectType"", 'Guid', 'ObjectType', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '')"
"(""[Parameter(Mandatory = $true, ValueFromPipelineByPropertyName = $true, ParameterSetName = 'CreateVariables')]\n        [switch]$CreateVariables"", 'switch', 'CreateVariables', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '')"
"(""[Parameter(ParameterSetName = 'API')]\n        [Switch]\n        $API"", 'Switch', 'API', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' sid\n                    $GroupSid', '', 'sid', 'GroupSid', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' sid\n            $AccountID', '', 'sid', 'AccountID', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' site\n                $ComputerSite', '', 'site', 'ComputerSite', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' specific $class', '', 'specific', 'class', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' string\n                    $ObjectProperties', '', 'string', 'ObjectProperties', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' string\n                $ObjectProperties', '', 'string', 'ObjectProperties', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' strings\n                $PropertiesToLoad', '', 'strings', 'PropertiesToLoad', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' struct $Mod', '', 'struct', 'Mod', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' struct $mod', '', 'struct', 'mod', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' structure\n                        $NewIntPtr', '', 'structure', 'NewIntPtr', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' structure\n                    $Increment', '', 'structure', 'Increment', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' structure\n                    $NewIntPtr', '', 'structure', 'NewIntPtr', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' structure\n                $Increment', '', 'structure', 'Increment', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' structure\n    $ASReqSeq', '', 'structure', 'ASReqSeq', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' structure\n    $PADataSeq', '', 'structure', 'PADataSeq', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' structure\n    $ReqBodySeq', '', 'structure', 'ReqBodySeq', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' structure\n$DS_DOMAIN_TRUSTS', '', 'structure', 'DS_DOMAIN_TRUSTS', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' structure\n$LOCALGROUP_INFO_1', '', 'structure', 'LOCALGROUP_INFO_1', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' structure\n$LOCALGROUP_MEMBERS_INFO_2', '', 'structure', 'LOCALGROUP_MEMBERS_INFO_2', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' structure\n$SESSION_INFO_10', '', 'structure', 'SESSION_INFO_10', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' structure\n$SHARE_INFO_1', '', 'structure', 'SHARE_INFO_1', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' structure\n$WKSTA_USER_INFO_1', '', 'structure', 'WKSTA_USER_INFO_1', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' structure\n$WTS_CLIENT_ADDRESS', '', 'structure', 'WTS_CLIENT_ADDRESS', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' structure\n$WTS_SESSION_INFO_1', '', 'structure', 'WTS_SESSION_INFO_1', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' systems\n        $adPEAS_Outdated', '', 'systems', 'adPEAS_Outdated', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' table\n                                    $AclProperties', '', 'table', 'AclProperties', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' tag\n    $AppSeq', '', 'tag', 'AppSeq', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' target\n                            $Null', '', 'target', 'Null', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' templates\n$CertEnrollmentFlagEnum', '', 'templates', 'CertEnrollmentFlagEnum', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' templates\n$CertFlagsEnum', '', 'templates', 'CertFlagsEnum', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' templates\n$CertNameFlagEnum', '', 'templates', 'CertNameFlagEnum', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' templates\n$CertPrivKeyFlagEnum', '', 'templates', 'CertPrivKeyFlagEnum', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' text\n        $Legend_Table', '', 'text', 'Legend_Table', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' than $Null', '', 'than', 'Null', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' the $HostEnumBlock', '', 'the', 'HostEnumBlock', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' to $OutFile', '', 'to', 'OutFile', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' to $Path', '', 'to', 'Path', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' to\n            $GroupManager', '', 'to', 'GroupManager', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' tracker\n    $Domains', '', 'tracker', 'Domains', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' true\n    $padata', '', 'true', 'padata', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' twice\n            $VorbiddenVars', '', 'twice', 'VorbiddenVars', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' union.\n$TestUnion', '', 'union.', 'TestUnion', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' unmounting $TargetPath', '', 'unmounting', 'TargetPath', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' us\n                $Null', '', 'us', 'Null', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' user\n            $ASREPHashArguments', '', 'user', 'ASREPHashArguments', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' username\n                            $RDPSession', '', 'username', 'RDPSession', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' value\n        $AesIV', '', 'value', 'AesIV', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' value\n        $UACFilter', '', 'value', 'UACFilter', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' values\n                $Reg', '', 'values', 'Reg', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' variables\n                $UserDomain', '', 'variables', 'UserDomain', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' variables\n            $BindServer', '', 'variables', 'BindServer', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' variables\n            $GetVar', '', 'variables', 'GetVar', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' variables\n            $QueryLevel', '', 'variables', 'QueryLevel', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' variables\n            $TargetDomain', '', 'variables', 'TargetDomain', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' variables\n        $IdentityFilter', '', 'variables', 'IdentityFilter', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' version $PSVer', '', 'version', 'PSVer', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' version\n    $PSVer', '', 'version', 'PSVer', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' versions\n        $ExchangeVersions', '', 'versions', 'ExchangeVersions', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' well\n                        $LoggedOn', '', 'well', 'LoggedOn', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' well\n                $ObjectCSV', '', 'well', 'ObjectCSV', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' windows\n    $pvno', '', 'windows', 'pvno', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' with $GPLink', '', 'with', 'GPLink', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' write $OutFile', '', 'write', 'OutFile', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' year\n    $krbtgtPwdLastSetNew', '', 'year', 'krbtgtPwdLastSetNew', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' years\n    $krbtgtPwdLastSetOld', '', 'years', 'krbtgtPwdLastSetOld', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' yet\n                                        $GpoDN', '', 'yet', 'GpoDN', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', ""Param (\n        [Parameter(Mandatory = $true, ValueFromPipeline = $true, ValueFromPipelineByPropertyName = $true, ParameterSetName = 'DynamicParameter')"", ""[Parameter(Mandatory = $true, ValueFromPipeline = $true, ValueFromPipelineByPropertyName = $true, ParameterSetName = 'DynamicParameter'"", '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', ""Param (\n        [Parameter(Position = 0, ParameterSetName = 'RawSPN', Mandatory = $True, ValueFromPipeline = $True)"", ""[Parameter(Position = 0, ParameterSetName = 'RawSPN', Mandatory = $True, ValueFromPipeline = $True"", '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', ""Param (\n        [String]\n        $GPOName = '*',\n\n        [ValidateRange(1,10000)"", ""[String]\n        $GPOName = '*',\n\n        [ValidateRange(1,10000"", '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', ""Param (\n        [Switch]\n        $SPN,\n\n        [Switch]\n        $Enabled,\n\n        [Switch]\n        $Disabled,\n\n        [Parameter(ParameterSetName = 'AllowDelegation')"", ""[Switch]\n        $SPN,\n\n        [Switch]\n        $Enabled,\n\n        [Switch]\n        $Disabled,\n\n        [Parameter(ParameterSetName = 'AllowDelegation'"", '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', ""Param(\n                [String]\n                $Domain,\n\n                [String]\n                $SearchBase,\n\n                [String]\n                $Server,\n\n                [String]\n                $SearchScope = 'Subtree',\n\n                [Int]\n                $ResultPageSize = 200,\n\n                [Int]\n                $ServerTimeLimit,\n\n                [Switch]\n                $Tombstone,\n\n                [Management.Automation.PSCredential]\n                [Management.Automation.CredentialAttribute()"", ""[String]\n                $Domain,\n\n                [String]\n                $SearchBase,\n\n                [String]\n                $Server,\n\n                [String]\n                $SearchScope = 'Subtree',\n\n                [Int]\n                $ResultPageSize = 200,\n\n                [Int]\n                $ServerTimeLimit,\n\n                [Switch]\n                $Tombstone,\n\n                [Management.Automation.PSCredential]\n                [Management.Automation.CredentialAttribute("", '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', ""Param(\n        [Parameter(Mandatory = $True, ParameterSetName = 'Credential')"", ""[Parameter(Mandatory = $True, ParameterSetName = 'Credential'"", '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', ""Param(\n        [Parameter(ParameterSetName = 'API')"", ""[Parameter(ParameterSetName = 'API'"", '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', ""Param(\n        [Parameter(ParameterSetName = 'ComputerName', Position = 0, ValueFromPipeline = $True, ValueFromPipelineByPropertyName = $True)"", ""[Parameter(ParameterSetName = 'ComputerName', Position = 0, ValueFromPipeline = $True, ValueFromPipelineByPropertyName = $True"", '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', ""Param(\n        [Parameter(Position = 0, Mandatory = $True, ParameterSetName = 'ClassName')"", ""[Parameter(Position = 0, Mandatory = $True, ParameterSetName = 'ClassName'"", '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', ""Param(\n        [Parameter(Position = 0, Mandatory = $True, ParameterSetName = 'ComputerName', ValueFromPipeline = $True, ValueFromPipelineByPropertyName = $True)"", ""[Parameter(Position = 0, Mandatory = $True, ParameterSetName = 'ComputerName', ValueFromPipeline = $True, ValueFromPipelineByPropertyName = $True"", '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', ""Param(\n        [Parameter(Position = 0, ParameterSetName = 'ComputerIdentity', Mandatory = $True, ValueFromPipeline = $True, ValueFromPipelineByPropertyName = $True)"", ""[Parameter(Position = 0, ParameterSetName = 'ComputerIdentity', Mandatory = $True, ValueFromPipeline = $True, ValueFromPipelineByPropertyName = $True"", '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', 'Param (\n                [int[]]\n                $HoursArr\n            )', '[int[]]\n                $HoursArr\n            ', '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', 'Param (\n            [Parameter(Position = 0, ValueFromPipeline = $True, ValueFromPipelineByPropertyName = $True)', '[Parameter(Position = 0, ValueFromPipeline = $True, ValueFromPipelineByPropertyName = $True', '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', 'Param (\n        #[Parameter(Position = 0, ValueFromPipeline = $True, ValueFromPipelineByPropertyName = $True)', '#[Parameter(Position = 0, ValueFromPipeline = $True, ValueFromPipelineByPropertyName = $True', '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', 'Param (\n        [Parameter( ValueFromPipeline = $True, ValueFromPipelineByPropertyName = $True)', '[Parameter( ValueFromPipeline = $True, ValueFromPipelineByPropertyName = $True', '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', 'Param (\n        [Parameter(Mandatory = $True)', '[Parameter(Mandatory = $True', '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', 'Param (\n        [Parameter(Mandatory = $True, ValueFromPipeline = $True, ValueFromPipelineByPropertyName = $True)', '[Parameter(Mandatory = $True, ValueFromPipeline = $True, ValueFromPipelineByPropertyName = $True', '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', 'Param (\n        [Parameter(Mandatory = $false,HelpMessage=""Enter a Active Directory domain name here, e.g. \'contoso.com\'"")', '[Parameter(Mandatory = $false,HelpMessage=""Enter a Active Directory domain name here, e.g. \'contoso.com\'""', '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', 'Param (\n        [Parameter(Mandatory = $true)', '[Parameter(Mandatory = $true', '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', 'Param (\n        [Parameter(Mandatory = $true, ValueFromPipeline=$true)', '[Parameter(Mandatory = $true, ValueFromPipeline=$true', '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', 'Param (\n        [Parameter(Mandatory= $True)', '[Parameter(Mandatory= $True', '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', 'Param (\n        [Parameter(Position = 0)', '[Parameter(Position = 0', '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', 'Param (\n        [Parameter(Position = 0, Mandatory = $True)', '[Parameter(Position = 0, Mandatory = $True', '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', 'Param (\n        [Parameter(Position = 0, Mandatory = $false, ValueFromPipeline = $True, ValueFromPipelineByPropertyName = $True)', '[Parameter(Position = 0, Mandatory = $false, ValueFromPipeline = $True, ValueFromPipelineByPropertyName = $True', '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', 'Param (\n        [Parameter(Position = 0, Mandatory=$True)', '[Parameter(Position = 0, Mandatory=$True', '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', 'Param (\n        [Parameter(Position = 0, ValueFromPipeline = $True, ValueFromPipelineByPropertyName = $True)', '[Parameter(Position = 0, ValueFromPipeline = $True, ValueFromPipelineByPropertyName = $True', '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', 'Param (\n        [Parameter(Position = 0, ValueFromPipeline = $True, ValueFromPipelineByPropertyName = $True, Mandatory = $True)', '[Parameter(Position = 0, ValueFromPipeline = $True, ValueFromPipelineByPropertyName = $True, Mandatory = $True', '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', 'Param (\n        [Parameter(Position = 0, ValueFromPipeline = $True, ValueFromPipelineByPropertyName = $True, Mandatory = $false)', '[Parameter(Position = 0, ValueFromPipeline = $True, ValueFromPipelineByPropertyName = $True, Mandatory = $false', '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', 'Param (\n        [Parameter(Position = 0, ValueFromPipeline = $True, ValueFromPipelineByPropertyName = $True, Mandatory= $True)', '[Parameter(Position = 0, ValueFromPipeline = $True, ValueFromPipelineByPropertyName = $True, Mandatory= $True', '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', 'Param (\n        [Parameter(Position = 1, Mandatory=$True)', '[Parameter(Position = 1, Mandatory=$True', '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', 'Param (\n        [Switch]\n        $Users,\n\n        [Switch]\n        $Computers,\n\n        [Switch]\n        $Groups,\n\n        [ValidateNotNullOrEmpty()', '[Switch]\n        $Users,\n\n        [Switch]\n        $Computers,\n\n        [Switch]\n        $Groups,\n\n        [ValidateNotNullOrEmpty(', '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', 'Param (\n        [ValidateNotNullOrEmpty()', '[ValidateNotNullOrEmpty(', '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', 'Param($ComputerName, $CheckShareAccess, $TokenHandle)', '$ComputerName, $CheckShareAccess, $TokenHandle', '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', 'Param($ComputerName, $GroupName, $Method, $TokenHandle)', '$ComputerName, $GroupName, $Method, $TokenHandle', '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', 'Param($ComputerName, $Include, $ExcludedShares, $OfficeDocs, $ExcludeHidden, $FreshEXEs, $CheckWriteAccess, $TokenHandle)', '$ComputerName, $Include, $ExcludedShares, $OfficeDocs, $ExcludeHidden, $FreshEXEs, $CheckWriteAccess, $TokenHandle', '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', 'Param($ComputerName, $ProcessName, $TargetUsers, $Credential)', '$ComputerName, $ProcessName, $TargetUsers, $Credential', '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', 'Param($ComputerName, $StartTime, $EndTime, $MaxEvents, $TargetUsers, $Filter, $Credential)', '$ComputerName, $StartTime, $EndTime, $MaxEvents, $TargetUsers, $Filter, $Credential', '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', 'Param($ComputerName, $TargetUsers, $CurrentUser, $Stealth, $TokenHandle)', '$ComputerName, $TargetUsers, $CurrentUser, $Stealth, $TokenHandle', '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', 'Param($ComputerName, $TokenHandle)', '$ComputerName, $TokenHandle', '', '', '', '', '', '')"
