"( ""Function call with parameters that may be unsafe - this call relies on the caller to check that the passed values are correct. "" ""To disable this warning, use -D_SCL_SECURE_NO_WARNINGS. See documentation on how to use Visual C++ 'Checked Iterators'"""
"(IUriBuilderFactory *This,DWORD dwFlags,DWORD_PTR dwReserved,IUriBuilder **ppIUriBuilder"
"(IUriBuilderFactory *This,REFIID riid, void **ppvObject"
"(IUriContainer *This,IUri **ppIUri"
"(IUriContainer *This,REFIID riid, void **ppvObject"
"(IUrlMon *This,REFCLSID rclsid,LPCWSTR pszTYPE,LPCWSTR pszExt,DWORD dwFileVersionMS,DWORD dwFileVersionLS,LPCWSTR pszCodeBase,IBindCtx *pbc,DWORD dwClassContext,REFIID riid,DWORD flags"
"(IUrlMon *This,REFIID riid, void **ppvObject"
"(IViewObject *This,DWORD *pAspects,DWORD *pAdvf,IAdviseSink **ppAdvSink"
"(IViewObject *This,DWORD aspects,DWORD advf,IAdviseSink *pAdvSink"
"(IViewObject *This,DWORD dwDrawAspect,LONG lindex, void *pvAspect,DVTARGETDEVICE *ptd,HDC hdcTargetDev,HDC hdcDraw,LPCRECTL lprcBounds,LPCRECTL lprcWBounds,BOOL(*pfnContinue"
"(IViewObject *This,DWORD dwDrawAspect,LONG lindex, void *pvAspect,DVTARGETDEVICE *ptd,HDC hicTargetDev,LOGPALETTE **ppColorSet"
"(IViewObject *This,DWORD dwDrawAspect,LONG lindex, void *pvAspect,DWORD *pdwFreeze"
"(IViewObject *This,DWORD dwFreeze"
"(IViewObject *This,REFIID riid, void **ppvObject"
"(IViewObject2 *This,DWORD *pAspects,DWORD *pAdvf,IAdviseSink **ppAdvSink"
"(IViewObject2 *This,DWORD aspects,DWORD advf,IAdviseSink *pAdvSink"
"(IViewObject2 *This,DWORD dwDrawAspect,LONG lindex, void *pvAspect,DVTARGETDEVICE *ptd,HDC hdcTargetDev,HDC hdcDraw,LPCRECTL lprcBounds,LPCRECTL lprcWBounds,BOOL(*pfnContinue"
"(IViewObject2 *This,DWORD dwDrawAspect,LONG lindex, void *pvAspect,DVTARGETDEVICE *ptd,HDC hicTargetDev,LOGPALETTE **ppColorSet"
"(IViewObject2 *This,DWORD dwDrawAspect,LONG lindex, void *pvAspect,DWORD *pdwFreeze"
"(IViewObject2 *This,DWORD dwDrawAspect,LONG lindex,DVTARGETDEVICE *ptd,LPSIZEL lpsizel"
"(IViewObject2 *This,DWORD dwFreeze"
"(IViewObject2 *This,REFIID riid, void **ppvObject"
"(IWaitMultiple *This,DWORD timeout,ISynchronize **pSync"
"(IWaitMultiple *This,ISynchronize *pSync"
"(IWaitMultiple *This,REFIID riid, void **ppvObject"
"(IWbemBackupRestore *This,LPCWSTR strBackupToFile, long lFlags"
"(IWbemBackupRestore *This,LPCWSTR strRestoreFromFile, long lFlags"
"(IWbemBackupRestore *This,REFIID riid, void **ppvObject"
"(IWbemBackupRestoreEx *This,LPCWSTR strBackupToFile, long lFlags"
"(IWbemBackupRestoreEx *This,LPCWSTR strRestoreFromFile, long lFlags"
"(IWbemBackupRestoreEx *This,REFIID riid, void **ppvObject"
"(IWbemCallResult *This, long lTimeout,BSTR *pstrResultString"
"(IWbemCallResult *This, long lTimeout,IWbemClassObject **ppResultObject"
"(IWbemCallResult *This, long lTimeout,IWbemServices **ppServices"
"(IWbemCallResult *This,REFIID riid, void **ppvObject"
"(IWbemClassObject *This, long lEnumFlags"
"(IWbemClassObject *This, long lFlags,BSTR *pstrName,IWbemClassObject **ppInSignature,IWbemClassObject **ppOutSignature"
"(IWbemClassObject *This, long lFlags,BSTR *pstrObjectText"
"(IWbemClassObject *This, long lFlags,BSTR *strName,VARIANT *pVal,CIMTYPE *pType, long *plFlavor"
"(IWbemClassObject *This, long lFlags,IWbemClassObject **ppNewClass"
"(IWbemClassObject *This, long lFlags,IWbemClassObject **ppNewInstance"
"(IWbemClassObject *This, long lFlags,IWbemClassObject *pCompareTo"
"(IWbemClassObject *This,IWbemClassObject **ppCopy"
"(IWbemClassObject *This,IWbemQualifierSet **ppQualSet"
"(IWbemClassObject *This,LPCWSTR strAncestor"
"(IWbemClassObject *This,LPCWSTR wszMethod,IWbemQualifierSet **ppQualSet"
"(IWbemClassObject *This,LPCWSTR wszMethodName,BSTR *pstrClassName"
"(IWbemClassObject *This,LPCWSTR wszName"
"(IWbemClassObject *This,LPCWSTR wszName, long lFlags,IWbemClassObject **ppInSignature,IWbemClassObject **ppOutSignature"
"(IWbemClassObject *This,LPCWSTR wszName, long lFlags,IWbemClassObject *pInSignature,IWbemClassObject *pOutSignature"
"(IWbemClassObject *This,LPCWSTR wszName, long lFlags,VARIANT *pVal,CIMTYPE *pType, long *plFlavor"
"(IWbemClassObject *This,LPCWSTR wszName, long lFlags,VARIANT *pVal,CIMTYPE Type"
"(IWbemClassObject *This,LPCWSTR wszName,BSTR *pstrClassName"
"(IWbemClassObject *This,LPCWSTR wszProperty,IWbemQualifierSet **ppQualSet"
"(IWbemClassObject *This,LPCWSTR wszQualifierName, long lFlags,VARIANT *pQualifierVal,SAFEARRAY **pNames"
"(IWbemClassObject *This,REFIID riid, void **ppvObject"
"(IWbemConfigureRefresher *This, long lId, long lFlags"
"(IWbemConfigureRefresher *This,IWbemRefresher *pRefresher, long lFlags, long *plId"
"(IWbemConfigureRefresher *This,IWbemServices *pNamespace,IWbemClassObject *pTemplate, long lFlags,IWbemContext *pContext,IWbemClassObject **ppRefreshable, long *plId"
"(IWbemConfigureRefresher *This,IWbemServices *pNamespace,LPCWSTR wszClassName, long lFlags,IWbemContext *pContext,IWbemHiPerfEnum **ppEnum, long *plId"
"(IWbemConfigureRefresher *This,IWbemServices *pNamespace,LPCWSTR wszPath, long lFlags,IWbemContext *pContext,IWbemClassObject **ppRefreshable, long *plId"
"(IWbemConfigureRefresher *This,REFIID riid, void **ppvObject"
"(IWbemContext *This, long lFlags"
"(IWbemContext *This, long lFlags,BSTR *pstrName,VARIANT *pValue"
"(IWbemContext *This, long lFlags,SAFEARRAY **pNames"
"(IWbemContext *This,IWbemContext **ppNewCopy"
"(IWbemContext *This,LPCWSTR wszName, long lFlags"
"(IWbemContext *This,LPCWSTR wszName, long lFlags,VARIANT *pValue"
"(IWbemContext *This,REFIID riid, void **ppvObject"
"(IWbemHiPerfEnum *This, long lFlags"
"(IWbemHiPerfEnum *This, long lFlags,ULONG uNumObjects, long *apIds"
"(IWbemHiPerfEnum *This, long lFlags,ULONG uNumObjects, long *apIds,IWbemObjectAccess **apObj"
"(IWbemHiPerfEnum *This, long lFlags,ULONG uNumObjects,IWbemObjectAccess **apObj,ULONG *puReturned"
"(IWbemHiPerfEnum *This,REFIID riid, void **ppvObject"
"(IWbemLocator *This, const BSTR strNetworkResource, const BSTR strUser, const BSTR strPassword, const BSTR strLocale, long lSecurityFlags, const BSTR strAuthority,IWbemContext *pCtx,IWbemServices **ppNamespace"
"(IWbemLocator *This,REFIID riid, void **ppvObject"
"(IWbemObjectAccess *This, long lEnumFlags"
"(IWbemObjectAccess *This, long lFlags"
"(IWbemObjectAccess *This, long lFlags,BSTR *pstrName,IWbemClassObject **ppInSignature,IWbemClassObject **ppOutSignature"
"(IWbemObjectAccess *This, long lFlags,BSTR *pstrObjectText"
"(IWbemObjectAccess *This, long lFlags,BSTR *strName,VARIANT *pVal,CIMTYPE *pType, long *plFlavor"
"(IWbemObjectAccess *This, long lFlags,IWbemClassObject **ppNewClass"
"(IWbemObjectAccess *This, long lFlags,IWbemClassObject **ppNewInstance"
"(IWbemObjectAccess *This, long lFlags,IWbemClassObject *pCompareTo"
"(IWbemObjectAccess *This, long lHandle, long lBufferSize, long *plNumBytes,byte *aData"
"(IWbemObjectAccess *This, long lHandle, long lNumBytes, const byte *aData"
"(IWbemObjectAccess *This, long lHandle, unsigned __int64 *pqw"
"(IWbemObjectAccess *This, long lHandle, unsigned __int64 pw"
"(IWbemObjectAccess *This, long lHandle,BSTR *pstrName,CIMTYPE *pType"
"(IWbemObjectAccess *This, long lHandle,DWORD *pdw"
"(IWbemObjectAccess *This, long lHandle,DWORD dw"
"(IWbemObjectAccess *This,IWbemClassObject **ppCopy"
"(IWbemObjectAccess *This,IWbemQualifierSet **ppQualSet"
"(IWbemObjectAccess *This,LPCWSTR strAncestor"
"(IWbemObjectAccess *This,LPCWSTR wszMethod,IWbemQualifierSet **ppQualSet"
"(IWbemObjectAccess *This,LPCWSTR wszMethodName,BSTR *pstrClassName"
"(IWbemObjectAccess *This,LPCWSTR wszName"
"(IWbemObjectAccess *This,LPCWSTR wszName, long lFlags,IWbemClassObject **ppInSignature,IWbemClassObject **ppOutSignature"
"(IWbemObjectAccess *This,LPCWSTR wszName, long lFlags,IWbemClassObject *pInSignature,IWbemClassObject *pOutSignature"
"(IWbemObjectAccess *This,LPCWSTR wszName, long lFlags,VARIANT *pVal,CIMTYPE *pType, long *plFlavor"
"(IWbemObjectAccess *This,LPCWSTR wszName, long lFlags,VARIANT *pVal,CIMTYPE Type"
"(IWbemObjectAccess *This,LPCWSTR wszName,BSTR *pstrClassName"
"(IWbemObjectAccess *This,LPCWSTR wszProperty,IWbemQualifierSet **ppQualSet"
"(IWbemObjectAccess *This,LPCWSTR wszPropertyName,CIMTYPE *pType, long *plHandle"
"(IWbemObjectAccess *This,LPCWSTR wszQualifierName, long lFlags,VARIANT *pQualifierVal,SAFEARRAY **pNames"
"(IWbemObjectAccess *This,REFIID riid, void **ppvObject"
"(IWbemObjectSink *This, long lFlags,HRESULT hResult,BSTR strParam,IWbemClassObject *pObjParam"
"(IWbemObjectSink *This, long lObjectCount,IWbemClassObject **apObjArray"
"(IWbemObjectSink *This,REFIID riid, void **ppvObject"
"(IWbemObjectSinkEx *This, const BSTR strActivity, const BSTR strCurrentOperation, const BSTR strStatusDescription,ULONG uPercentComplete,ULONG uSecondsRemaining"
"(IWbemObjectSinkEx *This, const BSTR strMessage, unsigned char uPromptType, unsigned char *puReturned"
"(IWbemObjectSinkEx *This, long lFlags,HRESULT hResult,BSTR strParam,IWbemClassObject *pObjParam"
"(IWbemObjectSinkEx *This, long lObjectCount,IWbemClassObject **apObjArray"
"(IWbemObjectSinkEx *This,IWbemClassObject *pObjError, unsigned char *puReturned"
"(IWbemObjectSinkEx *This,REFIID riid, void **ppvObject"
"(IWbemObjectSinkEx *This,ULONG uChannel, const BSTR strMessage"
"(IWbemObjectTextSrc *This, long lFlags,BSTR strText,ULONG uObjTextFormat,IWbemContext *pCtx,IWbemClassObject **pNewObj"
"(IWbemObjectTextSrc *This, long lFlags,IWbemClassObject *pObj,ULONG uObjTextFormat,IWbemContext *pCtx,BSTR *strText"
"(IWbemObjectTextSrc *This,REFIID riid, void **ppvObject"
"(IWbemQualifierSet *This, long lFlags"
"(IWbemQualifierSet *This, long lFlags,BSTR *pstrName,VARIANT *pVal, long *plFlavor"
"(IWbemQualifierSet *This, long lFlags,SAFEARRAY **pNames"
"(IWbemQualifierSet *This,LPCWSTR wszName"
"(IWbemQualifierSet *This,LPCWSTR wszName, long lFlags,VARIANT *pVal, long *plFlavor"
"(IWbemQualifierSet *This,LPCWSTR wszName,VARIANT *pVal, long lFlavor"
"(IWbemQualifierSet *This,REFIID riid, void **ppvObject"
"(IWbemRefresher *This, long lFlags"
"(IWbemRefresher *This,REFIID riid, void **ppvObject"
"(IWbemServices *This, const BSTR strClass, long lFlags,IWbemContext *pCtx,IWbemCallResult **ppCallResult"
"(IWbemServices *This, const BSTR strFilter, long lFlags,IWbemContext *pCtx,IEnumWbemClassObject **ppEnum"
"(IWbemServices *This, const BSTR strFilter, long lFlags,IWbemContext *pCtx,IWbemObjectSink *pResponseHandler"
"(IWbemServices *This, const BSTR strNamespace, long lFlags,IWbemContext *pCtx,IWbemServices **ppWorkingNamespace,IWbemCallResult **ppResult"
"(IWbemServices *This, const BSTR strObjectPath, const BSTR strMethodName, long lFlags,IWbemContext *pCtx,IWbemClassObject *pInParams,IWbemClassObject **ppOutParams,IWbemCallResult **ppCallResult"
"(IWbemServices *This, const BSTR strObjectPath, const BSTR strMethodName, long lFlags,IWbemContext *pCtx,IWbemClassObject *pInParams,IWbemObjectSink *pResponseHandler"
"(IWbemServices *This, const BSTR strObjectPath, long lFlags,IWbemContext *pCtx,IWbemCallResult **ppCallResult"
"(IWbemServices *This, const BSTR strObjectPath, long lFlags,IWbemContext *pCtx,IWbemClassObject **ppObject,IWbemCallResult **ppCallResult"
"(IWbemServices *This, const BSTR strObjectPath, long lFlags,IWbemContext *pCtx,IWbemObjectSink *pResponseHandler"
"(IWbemServices *This, const BSTR strQueryLanguage, const BSTR strQuery, long lFlags,IWbemContext *pCtx,IEnumWbemClassObject **ppEnum"
"(IWbemServices *This, const BSTR strQueryLanguage, const BSTR strQuery, long lFlags,IWbemContext *pCtx,IWbemObjectSink *pResponseHandler"
"(IWbemServices *This, const BSTR strSuperclass, long lFlags,IWbemContext *pCtx,IEnumWbemClassObject **ppEnum"
"(IWbemServices *This, const BSTR strSuperclass, long lFlags,IWbemContext *pCtx,IWbemObjectSink *pResponseHandler"
"(IWbemServices *This, long lFlags,IWbemObjectSink **ppResponseHandler"
"(IWbemServices *This,IWbemClassObject *pInst, long lFlags,IWbemContext *pCtx,IWbemCallResult **ppCallResult"
"(IWbemServices *This,IWbemClassObject *pInst, long lFlags,IWbemContext *pCtx,IWbemObjectSink *pResponseHandler"
"(IWbemServices *This,IWbemClassObject *pObject, long lFlags,IWbemContext *pCtx,IWbemCallResult **ppCallResult"
"(IWbemServices *This,IWbemClassObject *pObject, long lFlags,IWbemContext *pCtx,IWbemObjectSink *pResponseHandler"
"(IWbemServices *This,IWbemObjectSink *pSink"
"(IWbemServices *This,REFIID riid, void **ppvObject"
"(IWbemShutdown *This,LONG uReason,ULONG uMaxMilliseconds,IWbemContext *pCtx"
"(IWbemShutdown *This,REFIID riid, void **ppvObject"
"(IWbemStatusCodeText *This,HRESULT hRes,LCID LocaleId, long lFlags,BSTR *MessageText"
"(IWbemStatusCodeText *This,REFIID riid, void **ppvObject"
"(IWbemUnsecuredApartment *This,IUnknown *pObject,IUnknown **ppStub"
"(IWbemUnsecuredApartment *This,IWbemObjectSink *pSink,DWORD dwFlags,LPCWSTR wszReserved,IWbemObjectSink **ppStub"
"(IWbemUnsecuredApartment *This,REFIID riid, void **ppvObject"
"(IWinInetCacheHints *This,LPCWSTR pwzExt,LPVOID pszCacheFile,DWORD *pcbCacheFile,DWORD *pdwWinInetError,DWORD *pdwReserved"
"(IWinInetCacheHints *This,REFIID riid, void **ppvObject"
"(IWinInetCacheHints2 *This,LPCWSTR pwzExt,LPVOID pszCacheFile,DWORD *pcbCacheFile,DWORD *pdwWinInetError,DWORD *pdwReserved"
"(IWinInetCacheHints2 *This,REFIID riid, void **ppvObject"
"(IWinInetFileStream *This,DWORD_PTR dwReserved"
"(IWinInetFileStream *This,DWORD_PTR hWinInetLockHandle,DWORD_PTR dwReserved"
"(IWinInetFileStream *This,REFIID riid, void **ppvObject"
"(IWinInetHttpInfo *This,DWORD dwOption,LPVOID pBuffer,DWORD *pcbBuf"
"(IWinInetHttpInfo *This,DWORD dwOption,LPVOID pBuffer,DWORD *pcbBuf,DWORD *pdwFlags,DWORD *pdwReserved"
"(IWinInetHttpInfo *This,REFIID riid, void **ppvObject"
"(IWinInetHttpTimeouts *This,DWORD *pdwConnectTimeout,DWORD *pdwSendTimeout,DWORD *pdwReceiveTimeout"
"(IWinInetHttpTimeouts *This,REFIID riid, void **ppvObject"
"(IWinInetInfo *This,DWORD dwOption,LPVOID pBuffer,DWORD *pcbBuf"
"(IWinInetInfo *This,REFIID riid, void **ppvObject"
"(IWindowForBindingUI *This,REFGUID rguidReason,HWND *phwnd"
"(IWindowForBindingUI *This,REFIID riid, void **ppvObject"
"(IWrappedProtocol *This,LONG *pnCode,DWORD_PTR dwReserved"
"(IWrappedProtocol *This,REFIID riid, void **ppvObject"
"(IXMLAttribute *This,BSTR *n"
"(IXMLAttribute *This,BSTR *v"
"(IXMLAttribute *This,DISPID dispIdMember,REFIID riid,LCID lcid,WORD wFlags,DISPPARAMS *pDispParams,VARIANT *pVarResult,EXCEPINFO *pExcepInfo,UINT *puArgErr"
"(IXMLAttribute *This,REFIID riid, void **ppvObject"
"(IXMLAttribute *This,REFIID riid,LPOLESTR *rgszNames,UINT cNames,LCID lcid,DISPID *rgDispId"
"(IXMLAttribute *This,UINT *pctinfo"
"(IXMLAttribute *This,UINT iTInfo,LCID lcid,ITypeInfo **ppTInfo"
"(IXMLDOMAttribute *This,BSTR *attributeName"
"(IXMLDOMAttribute *This,BSTR *name"
"(IXMLDOMAttribute *This,BSTR *nameString"
"(IXMLDOMAttribute *This,BSTR *namespaceURI"
"(IXMLDOMAttribute *This,BSTR *nodeType"
"(IXMLDOMAttribute *This,BSTR *prefixString"
"(IXMLDOMAttribute *This,BSTR *xmlString"
"(IXMLDOMAttribute *This,BSTR dataTypeName"
"(IXMLDOMAttribute *This,BSTR queryString,IXMLDOMNode **resultNode"
"(IXMLDOMAttribute *This,BSTR queryString,IXMLDOMNodeList **resultList"
"(IXMLDOMAttribute *This,BSTR text"
"(IXMLDOMAttribute *This,DISPID dispIdMember,REFIID riid,LCID lcid,WORD wFlags,DISPPARAMS *pDispParams,VARIANT *pVarResult,EXCEPINFO *pExcepInfo,UINT *puArgErr"
"(IXMLDOMAttribute *This,DOMNodeType *type"
"(IXMLDOMAttribute *This,IXMLDOMDocument **XMLDOMDocument"
"(IXMLDOMAttribute *This,IXMLDOMNamedNodeMap **attributeMap"
"(IXMLDOMAttribute *This,IXMLDOMNode **definitionNode"
"(IXMLDOMAttribute *This,IXMLDOMNode **firstChild"
"(IXMLDOMAttribute *This,IXMLDOMNode **lastChild"
"(IXMLDOMAttribute *This,IXMLDOMNode **nextSibling"
"(IXMLDOMAttribute *This,IXMLDOMNode **parent"
"(IXMLDOMAttribute *This,IXMLDOMNode **previousSibling"
"(IXMLDOMAttribute *This,IXMLDOMNode *childNode,IXMLDOMNode **oldChild"
"(IXMLDOMAttribute *This,IXMLDOMNode *newChild,IXMLDOMNode **outNewChild"
"(IXMLDOMAttribute *This,IXMLDOMNode *newChild,IXMLDOMNode *oldChild,IXMLDOMNode **outOldChild"
"(IXMLDOMAttribute *This,IXMLDOMNode *newChild,VARIANT refChild,IXMLDOMNode **outNewChild"
"(IXMLDOMAttribute *This,IXMLDOMNode *stylesheet,BSTR *xmlString"
"(IXMLDOMAttribute *This,IXMLDOMNode *stylesheet,VARIANT outputObject"
"(IXMLDOMAttribute *This,IXMLDOMNodeList **childList"
"(IXMLDOMAttribute *This,REFIID riid, void **ppvObject"
"(IXMLDOMAttribute *This,REFIID riid,LPOLESTR *rgszNames,UINT cNames,LCID lcid,DISPID *rgDispId"
"(IXMLDOMAttribute *This,UINT *pctinfo"
"(IXMLDOMAttribute *This,UINT iTInfo,LCID lcid,ITypeInfo **ppTInfo"
"(IXMLDOMAttribute *This,VARIANT *attributeValue"
"(IXMLDOMAttribute *This,VARIANT *dataTypeName"
"(IXMLDOMAttribute *This,VARIANT *typedValue"
"(IXMLDOMAttribute *This,VARIANT *value"
"(IXMLDOMAttribute *This,VARIANT attributeValue"
"(IXMLDOMAttribute *This,VARIANT typedValue"
"(IXMLDOMAttribute *This,VARIANT value"
"(IXMLDOMAttribute *This,VARIANT_BOOL *hasChild"
"(IXMLDOMAttribute *This,VARIANT_BOOL *isParsed"
"(IXMLDOMAttribute *This,VARIANT_BOOL *isSpecified"
"(IXMLDOMAttribute *This,VARIANT_BOOL deep,IXMLDOMNode **cloneRoot"
"(IXMLDOMCDATASection *This, long *dataLength"
"(IXMLDOMCDATASection *This, long offset, long count"
"(IXMLDOMCDATASection *This, long offset, long count,BSTR *data"
"(IXMLDOMCDATASection *This, long offset, long count,BSTR data"
"(IXMLDOMCDATASection *This, long offset,BSTR data"
"(IXMLDOMCDATASection *This, long offset,IXMLDOMText **rightHandTextNode"
"(IXMLDOMCDATASection *This,BSTR *data"
"(IXMLDOMCDATASection *This,BSTR *name"
"(IXMLDOMCDATASection *This,BSTR *nameString"
"(IXMLDOMCDATASection *This,BSTR *namespaceURI"
"(IXMLDOMCDATASection *This,BSTR *nodeType"
"(IXMLDOMCDATASection *This,BSTR *prefixString"
"(IXMLDOMCDATASection *This,BSTR *text"
"(IXMLDOMCDATASection *This,BSTR *xmlString"
"(IXMLDOMCDATASection *This,BSTR data"
"(IXMLDOMCDATASection *This,BSTR dataTypeName"
"(IXMLDOMCDATASection *This,BSTR queryString,IXMLDOMNode **resultNode"
"(IXMLDOMCDATASection *This,BSTR queryString,IXMLDOMNodeList **resultList"
"(IXMLDOMCDATASection *This,BSTR text"
"(IXMLDOMCDATASection *This,DISPID dispIdMember,REFIID riid,LCID lcid,WORD wFlags,DISPPARAMS *pDispParams,VARIANT *pVarResult,EXCEPINFO *pExcepInfo,UINT *puArgErr"
"(IXMLDOMCDATASection *This,DOMNodeType *type"
"(IXMLDOMCDATASection *This,IXMLDOMDocument **XMLDOMDocument"
"(IXMLDOMCDATASection *This,IXMLDOMNamedNodeMap **attributeMap"
"(IXMLDOMCDATASection *This,IXMLDOMNode **definitionNode"
"(IXMLDOMCDATASection *This,IXMLDOMNode **firstChild"
"(IXMLDOMCDATASection *This,IXMLDOMNode **lastChild"
"(IXMLDOMCDATASection *This,IXMLDOMNode **nextSibling"
"(IXMLDOMCDATASection *This,IXMLDOMNode **parent"
"(IXMLDOMCDATASection *This,IXMLDOMNode **previousSibling"
"(IXMLDOMCDATASection *This,IXMLDOMNode *childNode,IXMLDOMNode **oldChild"
"(IXMLDOMCDATASection *This,IXMLDOMNode *newChild,IXMLDOMNode **outNewChild"
"(IXMLDOMCDATASection *This,IXMLDOMNode *newChild,IXMLDOMNode *oldChild,IXMLDOMNode **outOldChild"
"(IXMLDOMCDATASection *This,IXMLDOMNode *newChild,VARIANT refChild,IXMLDOMNode **outNewChild"
"(IXMLDOMCDATASection *This,IXMLDOMNode *stylesheet,BSTR *xmlString"
"(IXMLDOMCDATASection *This,IXMLDOMNode *stylesheet,VARIANT outputObject"
"(IXMLDOMCDATASection *This,IXMLDOMNodeList **childList"
"(IXMLDOMCDATASection *This,REFIID riid, void **ppvObject"
"(IXMLDOMCDATASection *This,REFIID riid,LPOLESTR *rgszNames,UINT cNames,LCID lcid,DISPID *rgDispId"
"(IXMLDOMCDATASection *This,UINT *pctinfo"
"(IXMLDOMCDATASection *This,UINT iTInfo,LCID lcid,ITypeInfo **ppTInfo"
"(IXMLDOMCDATASection *This,VARIANT *dataTypeName"
"(IXMLDOMCDATASection *This,VARIANT *typedValue"
"(IXMLDOMCDATASection *This,VARIANT *value"
"(IXMLDOMCDATASection *This,VARIANT value"
"(IXMLDOMCDATASection *This,VARIANT_BOOL *hasChild"
"(IXMLDOMCDATASection *This,VARIANT_BOOL *isParsed"
"(IXMLDOMCDATASection *This,VARIANT_BOOL *isSpecified"
"(IXMLDOMCDATASection *This,VARIANT_BOOL deep,IXMLDOMNode **cloneRoot"
"(IXMLDOMCharacterData *This, long *dataLength"
"(IXMLDOMCharacterData *This, long offset, long count"
"(IXMLDOMCharacterData *This, long offset, long count,BSTR *data"
"(IXMLDOMCharacterData *This, long offset, long count,BSTR data"
"(IXMLDOMCharacterData *This, long offset,BSTR data"
"(IXMLDOMCharacterData *This,BSTR *data"
"(IXMLDOMCharacterData *This,BSTR *name"
"(IXMLDOMCharacterData *This,BSTR *nameString"
"(IXMLDOMCharacterData *This,BSTR *namespaceURI"
"(IXMLDOMCharacterData *This,BSTR *nodeType"
"(IXMLDOMCharacterData *This,BSTR *prefixString"
"(IXMLDOMCharacterData *This,BSTR *text"
"(IXMLDOMCharacterData *This,BSTR *xmlString"
"(IXMLDOMCharacterData *This,BSTR data"
"(IXMLDOMCharacterData *This,BSTR dataTypeName"
"(IXMLDOMCharacterData *This,BSTR queryString,IXMLDOMNode **resultNode"
"(IXMLDOMCharacterData *This,BSTR queryString,IXMLDOMNodeList **resultList"
"(IXMLDOMCharacterData *This,BSTR text"
"(IXMLDOMCharacterData *This,DISPID dispIdMember,REFIID riid,LCID lcid,WORD wFlags,DISPPARAMS *pDispParams,VARIANT *pVarResult,EXCEPINFO *pExcepInfo,UINT *puArgErr"
"(IXMLDOMCharacterData *This,DOMNodeType *type"
"(IXMLDOMCharacterData *This,IXMLDOMDocument **XMLDOMDocument"
"(IXMLDOMCharacterData *This,IXMLDOMNamedNodeMap **attributeMap"
"(IXMLDOMCharacterData *This,IXMLDOMNode **definitionNode"
"(IXMLDOMCharacterData *This,IXMLDOMNode **firstChild"
"(IXMLDOMCharacterData *This,IXMLDOMNode **lastChild"
"(IXMLDOMCharacterData *This,IXMLDOMNode **nextSibling"
"(IXMLDOMCharacterData *This,IXMLDOMNode **parent"
"(IXMLDOMCharacterData *This,IXMLDOMNode **previousSibling"
"(IXMLDOMCharacterData *This,IXMLDOMNode *childNode,IXMLDOMNode **oldChild"
"(IXMLDOMCharacterData *This,IXMLDOMNode *newChild,IXMLDOMNode **outNewChild"
"(IXMLDOMCharacterData *This,IXMLDOMNode *newChild,IXMLDOMNode *oldChild,IXMLDOMNode **outOldChild"
"(IXMLDOMCharacterData *This,IXMLDOMNode *newChild,VARIANT refChild,IXMLDOMNode **outNewChild"
"(IXMLDOMCharacterData *This,IXMLDOMNode *stylesheet,BSTR *xmlString"
"(IXMLDOMCharacterData *This,IXMLDOMNode *stylesheet,VARIANT outputObject"
"(IXMLDOMCharacterData *This,IXMLDOMNodeList **childList"
"(IXMLDOMCharacterData *This,REFIID riid, void **ppvObject"
"(IXMLDOMCharacterData *This,REFIID riid,LPOLESTR *rgszNames,UINT cNames,LCID lcid,DISPID *rgDispId"
"(IXMLDOMCharacterData *This,UINT *pctinfo"
"(IXMLDOMCharacterData *This,UINT iTInfo,LCID lcid,ITypeInfo **ppTInfo"
"(IXMLDOMCharacterData *This,VARIANT *dataTypeName"
"(IXMLDOMCharacterData *This,VARIANT *typedValue"
"(IXMLDOMCharacterData *This,VARIANT *value"
"(IXMLDOMCharacterData *This,VARIANT typedValue"
"(IXMLDOMCharacterData *This,VARIANT value"
"(IXMLDOMCharacterData *This,VARIANT_BOOL *hasChild"
"(IXMLDOMCharacterData *This,VARIANT_BOOL *isParsed"
"(IXMLDOMCharacterData *This,VARIANT_BOOL *isSpecified"
"(IXMLDOMCharacterData *This,VARIANT_BOOL deep,IXMLDOMNode **cloneRoot"
